label	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	x13	x14	x15	x16	x17	x18	x19	x20	x21	x22	x23	x24	x25	x26
-0.990812	1.090648	-1.387387	-1.073612	-1.746229	-1.952969	-1.457794	-1.437558	-1.122020	-2.268152	-0.932749	-1.411695	-2.608240	-2.691264	-1.366010	0.538068	-2.417461	0.506776	0.301289	0.082677	-2.697901	-2.239296	-0.801809	-0.030236	0.474701	-1.122253
1.074014	1.021531	-1.510018	-1.136728	-1.793183	-1.951901	-1.458846	-1.493955	-1.110873	-2.324151	-0.935981	-1.471481	-2.665519	-2.750583	-1.416400	0.208469	-2.569027	0.504162	0.242640	0.063817	-2.708546	-2.260362	-0.797230	-0.062482	0.479891	-1.108158
-0.530759	-0.410520	-0.447366	-0.998400	-0.994077	0.089205	-1.078936	-1.032753	-0.813301	-0.910765	-0.433532	-1.029519	-1.084984	-1.037874	0.338453	2.895703	0.185304	0.702855	0.208478	-0.132320	-0.338309	-0.043463	-0.559303	-1.012708	-0.059190	-0.811408
1.027110	-1.769987	1.985810	-1.965948	-2.300190	0.994828	-1.508327	-1.825963	-1.317720	-1.479114	2.198822	-1.818557	-1.419877	-1.125883	0.327110	0.779152	-0.332124	-1.374768	-2.305122	-1.361391	0.586778	0.851920	-0.012590	1.512674	-0.658852	-1.317701
-0.071824	1.048962	0.927362	0.775476	1.377856	0.090382	1.219404	0.644980	2.692637	1.490443	0.803953	0.650491	1.250868	1.221187	0.206624	-0.296787	0.970370	0.860346	0.503889	1.529401	0.432641	0.271300	-0.732388	-0.352807	0.273466	2.691966
0.964625	1.061703	0.462836	0.511339	1.703226	0.630600	0.546826	0.346170	0.055684	1.751122	-0.449132	0.348146	1.368869	1.052046	-2.040402	-0.431013	0.999752	0.793449	0.503889	1.250227	-0.441553	-0.452652	-0.762758	-0.847144	-1.859412	0.058590
-0.029843	0.197210	0.031668	-0.404536	-1.267841	-1.953587	-0.793698	-0.495644	-1.237185	-1.659619	-0.933223	-0.465632	-1.973351	-2.101087	-1.754422	-0.748437	-2.422168	0.527751	0.503889	0.436808	-2.298226	-2.040752	-0.735416	0.444133	0.132904	-1.243865
-0.198328	-1.296530	-0.011508	-0.419699	0.015088	0.941820	-0.408396	-0.193174	-0.743783	-0.263797	-0.433273	-0.197971	-0.011426	0.107471	-0.081261	-0.211430	0.236319	-1.361053	-0.729286	-0.748517	0.790306	0.823590	2.049652	-0.172983	-1.021918	-0.743771
-0.664627	-0.666020	-0.585823	-1.286897	-1.584982	0.089895	-0.917447	-1.300839	0.343385	-1.148760	0.050344	-1.298995	-1.017794	-0.991620	0.290222	2.526043	0.077742	0.710075	-0.087279	-0.378351	-0.377952	-0.077603	-0.791071	-0.963722	0.068339	0.347745
0.893497	-1.230328	-0.612247	0.270072	0.869650	0.090030	0.542662	0.566231	0.214479	0.713460	0.555982	0.564265	0.448296	0.436618	0.355443	0.048281	0.373355	1.006487	0.503889	0.074515	0.266973	0.238128	0.561931	-1.114156	0.153298	0.214478
-0.529148	0.671504	-0.074243	-0.035481	-0.688665	-2.973982	-0.501301	-0.183851	-1.060614	-1.721840	-0.930508	-0.157153	-2.085539	-2.412120	-3.364836	-2.106928	-3.270217	0.475008	0.503889	0.623794	-3.233364	-3.160582	-0.822258	0.014409	-0.339954	-1.059572
0.851127	0.827785	0.554739	0.703964	1.121305	0.087677	0.552093	0.612656	0.386274	0.576185	-0.447150	0.609129	0.557515	0.530815	0.264931	-0.242446	0.447646	0.753268	0.503889	0.379946	0.265198	0.149270	-0.787805	0.560957	0.436474	0.382228
0.999862	-0.382151	3.840170	0.373121	-0.024280	0.942269	0.550538	0.500517	-0.234190	0.454595	1.549676	0.482598	0.639821	0.722829	0.085753	-0.071279	0.858095	-1.276421	0.148011	-0.686506	1.216904	1.032062	0.073348	1.206102	1.083535	-0.233987
0.696418	-0.093120	0.990549	0.814040	1.067659	0.091995	1.032119	0.932879	1.085842	1.084127	0.056204	0.943909	1.130260	1.098740	0.355949	-0.293454	0.733113	0.844354	0.503889	0.628442	0.394773	0.243455	-0.882597	-0.654793	0.437169	1.085830
0.901564	0.187718	0.940319	1.148554	1.396974	0.090576	1.323990	1.247963	1.257198	1.655393	0.057497	1.258167	1.513366	1.593659	0.311398	-0.328779	1.007271	0.859322	0.503889	0.895126	0.581149	0.312221	-0.837653	-0.328502	0.330760	1.257399
-0.390423	1.294969	-1.708709	0.734916	0.333267	0.093279	0.466400	0.547542	0.538655	0.625508	-0.940247	0.538620	0.766594	0.691520	0.384789	-0.319061	0.450868	0.762173	0.503889	1.541966	0.311054	0.162345	-0.742270	0.473774	0.574715	0.541822
-1.364449	-1.180774	0.141037	-2.004008	-1.446695	0.946052	-1.897274	-1.994746	-2.038367	-1.165742	2.553454	-1.991710	-1.126663	-0.941927	0.388782	1.067321	-0.382236	-1.390904	-1.635982	-1.905437	0.494177	0.846109	1.950547	1.509698	-2.874184	-2.038338
1.566569	-2.562149	2.086621	-2.443949	-2.346767	0.937660	-1.839348	-2.192407	-1.673121	-1.603232	3.546544	-2.192981	-1.286409	-1.071812	0.623176	2.628658	-0.026274	-1.390943	-1.803794	-1.617043	0.393589	0.755067	1.940923	1.173608	-3.016618	-1.673097
-0.754110	0.564020	-0.342717	-0.661061	-1.043589	-2.973788	-1.071199	-0.860865	-1.203693	-2.299717	-0.929689	-0.820278	-2.909097	-3.135241	-3.465353	-2.204842	-3.835446	0.440755	0.503889	0.332809	-3.568841	-3.243876	-0.723925	-0.061366	-0.035839	-1.208063
-0.328415	0.620542	-1.970723	-1.222335	-1.835580	-1.952180	-1.455171	-1.504526	-0.776093	-2.111174	-0.933999	-1.476337	-2.579297	-2.666952	-1.138784	2.002333	-1.909109	0.513107	0.503062	1.036658	-2.726593	-2.225737	-0.724154	-0.080465	-0.132685	-0.776788
