dataset	method	trial	mse	r2	time
airfoil	afp	4	18.1118263955	0.312367503861	38006.818157196045
airfoil	afp	0	22.358729667	0.0588287141367	47513.48435020447
airfoil	afp	16	20.2434193656	0.275161661475	56651.563371658325
airfoil	afp	3	17.8600943508	0.406971642414	58101.44361257553
airfoil	afp	13	17.274270574	0.525520918363	59298.44457769394
airfoil	afp	11	17.034450248	0.375147660615	61058.43129014969
airfoil	afp	17	16.7357105674	0.444503642274	64573.62984538078
airfoil	afp	7	17.5188794925	0.462345468745	64580.2062625885
airfoil	afp	6	18.1872758052	0.404771669217	64973.55866789818
airfoil	afp	9	17.9605732579	0.38478845793	66719.66526889801
airfoil	afp	15	16.6661474717	0.401468293267	67340.82749915123
airfoil	afp	8	16.7324854608	0.551220877479	68610.40959525108
airfoil	afp	2	15.9568545748	0.512076508342	71128.52032232285
airfoil	afp	18	20.6995236482	0.335790659865	71135.56364560127
airfoil	afp	19	18.392025936	0.385274074765	71376.85897374153
airfoil	afp	14	16.6531482488	0.478085520598	71968.38260412216
airfoil	afp	5	16.7426183958	0.507439504026	75493.29830861092
airfoil	afp	1	16.318043077	0.528350983896	76024.5014822483
airfoil	afp	10	15.8007446595	0.515870925286	76988.70759534836
airfoil	afp	12	17.021844352	0.386484585563	81375.43705034256
airfoil	afp	20	17.9416355406	0.361622454527	67283.0490372181
airfoil	afp	29	20.2068668934	0.418356504942	50443.68394804001
airfoil	afp	22	17.0465858686	0.430980210585	61867.29825878143
airfoil	afp	23	15.1563188969	0.537950296752	64700.56532096863
airfoil	afp	21	16.4015578783	0.463894895195	75962.49618959427
airfoil	afp	28	19.7534958069	0.310355776073	60437.531987667084
airfoil	afp	25	18.0922445469	0.314205356301	65965.64430618286
airfoil	afp	24	21.547720237	0.327285797718	68183.56369805336
airfoil	afp	39	20.2028636596	0.370072896779	49233.50264763832
airfoil	afp	38	17.7458917792	0.418991672416	53869.16939687729
airfoil	afp	27	12.5779175892	0.675530564693	66840.88535666466
airfoil	afp	35	19.0095876821	0.348983409123	60174.96275830269
airfoil	afp	26	13.2880281835	0.650195113738	67951.14792704582
airfoil	afp	34	18.6292214291	0.37340310826	61578.899288892746
airfoil	afp	33	19.0521114148	0.0401472765504	62015.40462684631
airfoil	afp	30	17.2168111737	0.408961655883	69292.26109027863
airfoil	afp	31	14.5230199209	0.523476505456	68163.16336321831
airfoil	afp	36	14.9441307171	0.604389303312	61773.21787285805
airfoil	afp	37	17.6676841901	0.453947012883	62327.25731086731
airfoil	afp	32	18.6410688521	0.475021885281	69583.05318641663
airfoil	afp	41	17.5188225355	0.309274934316	29628.732937335968
airfoil	afp	43	25.3482170451	-0.181019262635	27483.327111959457
airfoil	afp	40	15.4862880738	0.501793754469	48473.57902050018
airfoil	afp	45	17.3907228712	0.465590224593	30916.310708284378
airfoil	afp	42	11.7432584182	0.622809585559	38412.252425432205
airfoil	afp	46	19.3695069862	0.288664189615	31324.4873380661
airfoil	afp	47	20.7183148915	0.150267875748	32451.364533662796
airfoil	afp	44	17.1358846006	0.447154223084	36868.95464229584
airfoil	afp	49	16.4608826588	0.484425279723	31467.588313102722
airfoil	afp	48	16.5503432853	0.386780828611	32450.998238801956
concrete	afp	12	54.7427122117	0.778424337305	41493.32712316513
concrete	afp	15	54.680061385	0.762147662977	44744.41500926018
concrete	afp	2	61.5539013924	0.6966103085	45788.669120550156
concrete	afp	1	66.2221340793	0.728025158155	47248.26816749573
concrete	afp	10	54.418515405	0.749698365128	47379.90084862709
concrete	afp	8	50.8882522316	0.753109891728	48951.58422231674
concrete	afp	6	47.9351942148	0.793349226165	49392.51907658577
concrete	afp	11	54.4199182388	0.752273151115	51609.06769156456
concrete	afp	4	60.2281270281	0.752242655089	52294.35008263588
concrete	afp	17	47.3488791177	0.770776141934	52418.77760505676
concrete	afp	3	68.358864726	0.66885038692	54648.031277894974
concrete	afp	19	62.6288070972	0.6209010956	54778.09322309494
concrete	afp	9	77.366054959	0.714986566971	55287.70919704437
concrete	afp	0	44.3374282422	0.809999426158	55368.47098517418
concrete	afp	14	66.9866093642	0.667646340036	55460.14875102043
concrete	afp	5	58.4523981244	0.700291593963	56213.42882180214
concrete	afp	18	60.9805089107	0.734130156627	56383.16532969475
concrete	afp	7	54.7327265929	0.779042951567	56906.83018779755
concrete	afp	13	41.1455965634	0.817624271167	57759.33599734306
concrete	afp	16	50.7667032677	0.768748369907	61176.94221019745
concrete	afp	31	90.9407675346	0.550471165038	44392.027291059494
concrete	afp	25	61.8977614467	0.724547606947	50355.663190603256
concrete	afp	23	60.7357996269	0.731401209328	52644.42459201813
concrete	afp	28	72.0509907191	0.64459924843	49121.032537937164
concrete	afp	26	54.2680586733	0.729513744055	52677.74169230461
concrete	afp	30	51.7201388764	0.754434883328	48618.793038368225
concrete	afp	20	55.8970247459	0.753620979971	62179.28499031067
concrete	afp	22	54.2944944035	0.741750997667	59104.60698056221
concrete	afp	32	56.2081784527	0.753763929925	50950.609798908234
concrete	afp	29	66.9637399884	0.675677622069	54830.004724025726
