method,problem,popsize,samples,trial,time
rand,uball5d,100,10,0,50.55645036697388
rand,uball5d,100,50,0,39.70985221862793
rand,uball5d,100,100,0,41.91717839241028
rand,uball5d,100,500,0,49.68709897994995
rand,uball5d,100,1000,0,57.12292170524597
rand,uball5d,10,100,0,5.18195652961731
rand,uball5d,50,100,0,52.872817516326904
rand,uball5d,100,100,0,113.40738010406494
rand,uball5d,500,100,0,552.8592610359192
rand,uball5d,1000,100,0,1114.556086063385
tourn,uball5d,100,10,0,34.65939283370972
tourn,uball5d,100,50,0,45.75788998603821
tourn,uball5d,100,100,0,54.32127666473389
tourn,uball5d,100,500,0,45.71355485916138
tourn,uball5d,100,1000,0,54.341228008270264
tourn,uball5d,10,100,0,4.436783790588379
tourn,uball5d,50,100,0,37.857611894607544
tourn,uball5d,100,100,0,97.96128869056702
tourn,uball5d,500,100,0,409.7172224521637
tourn,uball5d,1000,100,0,1199.0170726776123
lex,uball5d,100,10,0,58.34329843521118
lex,uball5d,100,50,0,64.73782229423523
lex,uball5d,100,100,0,67.92753911018372
lex,uball5d,100,500,0,66.00903558731079
lex,uball5d,100,1000,0,64.01801872253418
lex,uball5d,10,100,0,8.863901138305664
lex,uball5d,50,100,0,59.719210147857666
lex,uball5d,100,100,0,121.7263777256012
lex,uball5d,500,100,0,586.5507302284241
lex,uball5d,1000,100,0,1234.8750250339508
dc,uball5d,100,10,0,92.75084376335144
dc,uball5d,100,50,0,92.12286019325256
dc,uball5d,100,100,0,94.69360566139221
dc,uball5d,100,500,0,86.225825548172
dc,uball5d,100,1000,0,98.81996130943298
dc,uball5d,10,100,0,16.446231365203857
dc,uball5d,50,100,0,89.68247723579407
dc,uball5d,100,100,0,177.17575764656067
dc,uball5d,500,100,0,860.3526649475098
dc,uball5d,1000,100,0,1708.3984875679016
afp,uball5d,100,10,0,103.24050784111023
afp,uball5d,100,50,0,92.88115692138672
afp,uball5d,100,100,0,99.4185471534729
afp,uball5d,100,500,0,97.76645874977112
afp,uball5d,100,1000,0,99.88190698623657
afp,uball5d,10,100,0,14.693983554840088
afp,uball5d,50,100,0,30.26079273223877
afp,uball5d,100,100,0,58.39261794090271
afp,uball5d,500,100,0,446.7298069000244
afp,uball5d,1000,100,0,745.1757299900055
ep-lex-s,uball5d,100,10,0,52.268715620040894
ep-lex-s,uball5d,100,50,0,50.614150285720825
ep-lex-s,uball5d,100,100,0,55.14054012298584
ep-lex-s,uball5d,100,500,0,64.37228274345398
ep-lex-s,uball5d,100,1000,0,70.35283136367798
ep-lex-s,uball5d,10,100,0,11.278313159942627
ep-lex-s,uball5d,50,100,0,63.647414207458496
ep-lex-s,uball5d,100,100,0,127.38857579231262
ep-lex-s,uball5d,500,100,0,653.897007226944
ep-lex-s,uball5d,1000,100,0,1325.7435748577118
ep-lex-sd,uball5d,100,10,0,59.6977756023407
ep-lex-sd,uball5d,100,50,0,56.378374338150024
ep-lex-sd,uball5d,100,100,0,62.46503186225891
ep-lex-sd,uball5d,100,500,0,54.23966360092163
ep-lex-sd,uball5d,100,1000,0,64.74480652809143
ep-lex-sd,uball5d,10,100,0,11.0530366897583
ep-lex-sd,uball5d,50,100,0,63.588144302368164
ep-lex-sd,uball5d,100,100,0,128.96666359901428
ep-lex-sd,uball5d,500,100,0,667.8144068717957
ep-lex-sd,uball5d,1000,100,0,1362.9323115348816
ep-lex-d,uball5d,100,10,0,62.011531829833984
ep-lex-d,uball5d,100,50,0,65.75096654891968
ep-lex-d,uball5d,100,100,0,62.87026596069336
ep-lex-d,uball5d,100,500,0,66.54468131065369
ep-lex-d,uball5d,100,1000,0,61.83875894546509
ep-lex-d,uball5d,10,100,0,11.977309226989746
ep-lex-d,uball5d,50,100,0,64.7068018913269
ep-lex-d,uball5d,100,100,0,130.3754687309265
ep-lex-d,uball5d,500,100,0,681.4264340400696
ep-lex-d,uball5d,1000,100,0,1495.9513370990753
rand,uball5d,100,10,1,111.34758019447327
rand,uball5d,100,50,1,115.40100812911987
