method,problem,popsize,samples,trial,time
rand,uball5d,100,50,0,44.54251408576965
rand,uball5d,100,100,0,40.3024046421051
rand,uball5d,100,500,0,52.05438303947449
rand,uball5d,100,1000,0,37.27962517738342
rand,uball5d,100,5000,0,69.81132745742798
tourn,uball5d,100,50,0,36.48576593399048
tourn,uball5d,100,100,0,43.54434657096863
tourn,uball5d,100,500,0,48.17232394218445
tourn,uball5d,100,1000,0,55.61199617385864
tourn,uball5d,100,5000,0,103.2977921962738
lex,uball5d,100,50,0,63.86442828178406
lex,uball5d,100,100,0,61.42217803001404
lex,uball5d,100,500,0,68.90957975387573
lex,uball5d,100,1000,0,72.31054544448853
lex,uball5d,100,5000,0,118.26338291168213
dc,uball5d,100,50,0,93.85520553588867
dc,uball5d,100,100,0,93.47785186767578
dc,uball5d,100,500,0,91.5930905342102
dc,uball5d,100,1000,0,102.57581877708435
dc,uball5d,100,5000,0,147.4835364818573
afp,uball5d,100,50,0,95.43008184432983
afp,uball5d,100,100,0,101.23829388618469
afp,uball5d,100,500,0,95.26493382453918
afp,uball5d,100,1000,0,95.79817628860474
afp,uball5d,100,5000,0,125.49109816551208
ep-lex-s,uball5d,100,50,0,52.27029228210449
ep-lex-s,uball5d,100,100,0,57.38910722732544
ep-lex-s,uball5d,100,500,0,60.98231077194214
ep-lex-s,uball5d,100,1000,0,63.82121396064758
ep-lex-s,uball5d,100,5000,0,99.4261245727539
ep-lex-sd,uball5d,100,50,0,63.025959730148315
ep-lex-sd,uball5d,100,100,0,60.753122329711914
ep-lex-sd,uball5d,100,500,0,57.48727893829346
ep-lex-sd,uball5d,100,1000,0,71.12898874282837
ep-lex-sd,uball5d,100,5000,0,121.72139406204224
ep-lex-d,uball5d,100,50,0,59.74735641479492
ep-lex-d,uball5d,100,100,0,66.36032700538635
ep-lex-d,uball5d,100,500,0,72.18808197975159
ep-lex-d,uball5d,100,1000,0,69.59168100357056
ep-lex-d,uball5d,100,5000,0,125.83008646965027
rand,uball5d,100,50,1,45.56215143203735
rand,uball5d,100,100,1,42.2562735080719
rand,uball5d,100,500,1,39.41822338104248
rand,uball5d,100,1000,1,52.51996922492981
rand,uball5d,100,5000,1,89.03730320930481
tourn,uball5d,100,50,1,32.03112483024597
tourn,uball5d,100,100,1,45.760814905166626
tourn,uball5d,100,500,1,46.14233112335205
tourn,uball5d,100,1000,1,32.68204665184021
tourn,uball5d,100,5000,1,90.1979238986969
lex,uball5d,100,50,1,63.72504663467407
lex,uball5d,100,100,1,65.7275595664978
lex,uball5d,100,500,1,58.69513463973999
lex,uball5d,100,1000,1,66.65997552871704
lex,uball5d,100,5000,1,115.78254342079163
dc,uball5d,100,50,1,90.78810977935791
dc,uball5d,100,100,1,90.2216362953186
dc,uball5d,100,500,1,93.40047311782837
dc,uball5d,100,1000,1,96.07728409767151
dc,uball5d,100,5000,1,140.79641222953796
afp,uball5d,100,50,1,96.66574478149414
afp,uball5d,100,100,1,98.76650643348694
afp,uball5d,100,500,1,93.95382857322693
afp,uball5d,100,1000,1,92.27571105957031
afp,uball5d,100,5000,1,130.47647094726562
ep-lex-s,uball5d,100,50,1,54.50758481025696
ep-lex-s,uball5d,100,100,1,56.07378149032593
ep-lex-s,uball5d,100,500,1,57.27137470245361
ep-lex-s,uball5d,100,1000,1,55.813297510147095
ep-lex-s,uball5d,100,5000,1,117.32918787002563
ep-lex-sd,uball5d,100,50,1,60.64523983001709
ep-lex-sd,uball5d,100,100,1,63.05851864814758
ep-lex-sd,uball5d,100,500,1,60.88381028175354
ep-lex-sd,uball5d,100,1000,1,70.89640927314758
ep-lex-sd,uball5d,100,5000,1,106.2795786857605
ep-lex-d,uball5d,100,50,1,66.48247003555298
ep-lex-d,uball5d,100,100,1,63.634074211120605
ep-lex-d,uball5d,100,500,1,63.67297387123108
ep-lex-d,uball5d,100,1000,1,68.43369936943054
ep-lex-d,uball5d,100,5000,1,117.00722408294678
rand,uball5d,100,50,2,41.54803395271301
rand,uball5d,100,100,2,44.73005676269531
rand,uball5d,100,500,2,46.70349836349487
rand,uball5d,100,1000,2,51.911680936813354
rand,uball5d,100,5000,2,90.52279233932495
tourn,uball5d,100,50,2,48.44385552406311
tourn,uball5d,100,100,2,39.99575161933899
tourn,uball5d,100,500,2,50.76071071624756
tourn,uball5d,100,1000,2,42.69191336631775
tourn,uball5d,100,5000,2,60.92693614959717
lex,uball5d,100,50,2,63.58031249046326
lex,uball5d,100,100,2,66.03053689002991
lex,uball5d,100,500,2,66.27869510650635
lex,uball5d,100,1000,2,68.12288427352905
lex,uball5d,100,5000,2,126.2282121181488
dc,uball5d,100,50,2,92.11099982261658
dc,uball5d,100,100,2,92.96496343612671
dc,uball5d,100,500,2,99.69821405410767
dc,uball5d,100,1000,2,91.9142746925354
dc,uball5d,100,5000,2,131.46129059791565
